	RD118	RD122	RD124	RD126	RD127	RD128	RD130	RD131	RD132	RD162	RD165	RD166	RD167	RD168	RD169	RD170	RD171	RD172	RD173	RD174	RDneg	taxonomy
ASV_45	1079	2145	626	1175	351	1649	4409	137	1637	1484	3	993	430	139	165	431	751	152	1525	847	298	Bacteria;;;;;;
ASV_46	1215	1735	541	145	316	4893	144	197	1840	2385	209	509	767	236	1374	137	1247	590	458	295	216	Bacteria;;;;;;
ASV_55	731	318	86	618	85	152	7519	148	12	593	431	147	247	85	299	1137	194	11	1175	76	71	Bacteria;;;;;;
ASV_61	513	363	63	2297	258	785	698	132	372	800	211	840	157	508	695	1438	479	37	1035	699	244	Bacteria;;;;;;
ASV_99	0	0	0	0	0	1356	0	1356	3592	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;;;;;;
ASV_352	82	3	10	0	6	0	0	0	4	170	0	193	177	6	4	0	185	0	0	0	87	Bacteria;;;;;;
ASV_212	0	0	0	0	0	2315	0	15	74	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV_379	0	0	0	0	0	497	0	0	14	0	0	0	0	0	0	296	0	0	0	0	0	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV_223	0	157	31	0	5	4	7	0	0	285	292	982	0	4	0	8	7	14	2	0	385	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;;
ASV_251	819	59	6	2	56	211	3	0	221	28	250	80	3	0	0	0	23	0	0	18	28	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002;
ASV_222	326	219	17	152	88	277	24	33	58	228	0	199	115	58	62	84	81	46	51	71	25	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_345	212	210	21	22	35	81	0	12	23	24	7	69	135	28	14	4	6	9	10	16	15	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_395	184	0	0	70	10	31	0	115	21	155	12	20	7	0	0	0	10	81	17	17	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_421	103	81	0	25	33	126	0	13	24	13	13	70	0	0	0	15	36	0	50	33	28	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_452	192	106	0	10	8	109	0	15	37	0	0	0	0	0	9	0	0	9	14	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter;
ASV_100	804	399	380	130	153	375	37	79	303	1741	9	678	45	44	162	38	169	93	99	139	283	Bacteria;Bacteroidota;;;;;
ASV_7	9921	6508	1634	381	5228	5359	598	4409	12045	6796	1889	1136	6376	417	1957	394	11339	78	6034	1079	400	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_63	483	311	49	1777	257	814	680	129	312	728	261	761	173	519	750	1326	455	39	1170	723	225	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_154	181	3	85	170	243	253	306	376	296	64	335	76	24	130	25	251	139	0	269	393	28	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_166	82	146	89	377	312	293	211	89	168	298	107	123	40	166	159	159	75	0	179	224	0	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_218	77	0	80	63	173	0	0	126	313	242	88	276	96	0	105	68	241	0	99	113	107	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_252	184	52	0	81	195	82	55	132	103	128	168	83	48	0	0	113	65	0	211	91	0	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_9	10705	9917	3005	967	915	10086	0	1333	2636	6150	3674	5659	2253	668	3740	2819	6383	2019	1959	367	1400	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_18	2844	3422	1694	1534	5315	594	1338	606	1485	3711	2371	2948	2869	2620	1711	5961	4047	356	598	2574	1069	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_22	2059	649	276	2194	582	3315	516	794	1583	1104	38	2616	1274	1162	1467	8652	2330	134	1417	1839	635	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_26	1183	927	533	594	2470	106	589	2975	123	3280	837	1582	1557	453	1925	700	2375	115	6500	858	350	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_27	2090	1391	789	451	349	6579	164	541	1578	4345	291	4483	378	375	1495	357	873	179	566	409	1800	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_28	3001	1012	80	851	270	898	0	6615	883	2756	3140	0	585	360	986	974	1755	56	2646	547	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_30	1454	2982	761	1278	713	957	632	33	482	919	14	11813	123	90	305	182	150	132	1458	11	2445	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_32	2903	938	56	872	266	840	0	6370	841	2769	2871	0	627	361	904	920	1768	54	2568	528	67	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_39	1790	1555	846	3337	609	1010	1746	989	1009	3588	484	1040	140	471	193	1023	1650	186	510	457	280	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_43	2750	1801	642	1022	339	2104	1436	495	1177	2428	966	1393	45	99	256	1282	302	97	1152	574	309	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_50	624	477	250	316	1293	0	246	1473	61	1835	567	820	996	254	1187	427	1555	83	3571	454	207	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_60	410	370	208	231	1099	45	223	1259	42	1328	286	627	632	145	885	279	1103	40	3047	361	184	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_68	532	579	441	231	743	191	57	546	1712	1454	201	1416	294	85	366	227	789	69	457	350	397	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_69	1851	1034	493	1435	534	885	45	135	502	803	98	1181	129	0	371	73	560	157	92	175	418	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_74	812	693	276	520	931	736	498	470	591	536	330	431	190	309	590	620	372	41	764	325	78	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_76	510	1069	270	461	255	346	199	0	210	372	0	4057	0	0	107	71	39	55	535	0	1032	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_80	709	445	265	342	190	623	206	185	581	1514	517	866	230	225	183	287	563	62	552	304	232	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_82	778	0	144	502	1197	70	174	86	69	153	429	343	822	578	417	1911	641	0	72	507	139	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_85	322	412	155	689	646	660	679	285	413	759	277	296	121	414	367	446	218	16	464	690	175	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_91	365	331	193	231	400	306	195	218	314	550	212	647	214	220	611	473	447	33	606	428	52	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_104	601	399	107	294	68	797	471	123	330	690	233	476	0	0	86	456	80	0	288	171	145	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_105	519	112	81	124	400	198	196	416	295	468	650	182	201	53	123	285	194	6	825	405	71	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_111	51	491	646	1285	233	33	184	303	267	476	16	383	6	153	33	312	189	12	18	94	142	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_119	350	495	131	0	0	839	0	0	438	775	50	177	199	65	383	44	376	169	117	94	99	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_132	20	84	0	140	300	120	13	105	956	508	0	660	0	27	89	157	60	15	793	88	201	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_153	312	119	84	113	47	190	64	52	161	709	244	299	112	96	97	112	378	33	174	179	119	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_191	312	204	68	26	54	282	0	12	373	489	0	434	0	10	148	7	149	12	0	39	109	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_243	1115	162	131	0	0	275	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_270	93	232	0	0	58	31	0	98	251	289	0	253	0	0	38	41	65	0	39	0	125	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_276	64	0	0	0	178	148	0	133	66	100	88	0	84	79	116	274	118	0	72	53	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_323	0	0	0	0	0	0	0	0	0	100	0	64	125	0	166	0	151	0	519	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_331	0	0	0	0	0	0	0	0	0	61	0	666	0	0	0	0	0	0	67	0	253	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_4	1091	1037	586	10163	5944	853	15	2174	691	1948	11187	410	28063	1640	11413	20046	4980	1686	6284	2718	555	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_13	917	124	1643	697	3090	476	27607	46	3508	5473	801	2285	1874	148	1803	1228	1018	511	2000	1191	1043	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_90	185	331	92	434	327	430	83	296	114	342	299	178	444	383	552	1419	256	55	439	306	166	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_152	64	0	0	0	57	169	1053	0	102	411	129	340	124	48	63	75	166	0	842	0	57	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_385	0	0	0	0	0	0	248	0	0	97	0	78	0	28	0	0	0	0	291	0	45	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_21	1017	486	1008	2145	1712	406	4226	1968	1189	2332	2974	3240	433	1902	3225	2455	393	522	1950	1918	1550	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;
ASV_24	719	789	1159	1686	1678	2413	6645	1298	2361	2691	779	2771	107	324	820	1287	1924	85	490	1142	1431	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;;
ASV_25	5709	3171	994	861	725	1661	96	248	1143	4256	168	7009	365	49	550	125	1348	316	553	434	2087	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;;
ASV_44	2936	1708	450	319	442	861	54	145	655	3499	59	5624	235	0	256	49	632	138	475	291	1818	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;;
ASV_54	803	717	379	888	1201	800	763	723	477	710	926	586	427	479	680	2014	791	45	1037	546	171	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;;
ASV_138	167	447	75	147	112	281	0	151	300	269	337	314	37	109	237	173	326	0	439	168	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;;
ASV_8	9423	22293	3376	2651	118	1699	134	671	1891	12563	0	8001	48	86	1060	147	246	126	5813	4922	2214	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;
ASV_17	6557	13304	2719	1285	51	1536	107	615	1625	5837	25	7357	0	102	629	154	136	0	2975	2662	2119	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;
ASV_19	1704	996	1097	2179	1008	4034	62	1230	1655	1734	1504	9907	852	810	1353	1628	1902	507	1849	2937	2384	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;
ASV_20	1925	2252	1431	4091	1113	2170	1898	644	3384	3756	19	4175	278	619	719	1403	2720	311	1746	1310	1209	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;
ASV_47	695	2200	393	561	475	1286	74	715	1142	1163	1375	1197	196	522	1034	754	1474	52	2272	1135	404	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;
ASV_1	12839	13084	12706	9752	9058	13760	210	36305	13039	7610	34723	7529	16257	16102	20043	34024	14306	2381	48835	19344	1603	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;;
ASV_10	4994	5927	4852	7038	1170	3927	610	1646	9444	5252	71	560	1432	2248	2791	7344	10993	718	1506	3140	316	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_3	8067	13492	6917	1701	19299	6429	32	11569	10065	7297	3985	317	7107	3528	19171	1489	13989	576	13408	6089	135	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;
ASV_6	2712	4172	9073	153	3764	5711	98	816	10556	9212	123	4553	6993	2408	7407	33	2860	2162	2783	6579	2612	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_16	95	1142	1126	4388	6805	2223	4880	1053	1337	273	425	301	4531	3999	6421	3689	1406	123	2349	4263	226	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_23	1148	1209	1338	2565	2517	308	2586	1755	1122	1691	1338	2369	2141	592	2380	2190	2036	256	2498	1500	1001	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_49	579	1106	893	745	824	2243	1429	186	1147	1526	0	1953	189	296	899	535	297	273	536	451	1015	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_52	479	376	191	1528	1011	752	1234	654	422	127	718	368	451	1174	701	1253	301	38	1907	1571	368	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_123	268	131	183	180	316	98	62	47	241	246	178	658	180	175	329	192	195	25	303	329	327	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_135	0	62	268	17	219	47	20	103	78	898	14	393	218	267	664	0	520	21	74	43	277	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_263	155	37	59	45	105	26	30	49	93	100	28	370	43	20	79	38	142	13	79	56	128	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_401	47	14	34	37	17	32	29	14	60	69	41	128	38	6	36	24	23	0	28	0	38	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_5	3550	742	608	5842	4277	954	35387	5002	686	1877	7646	2061	1275	3618	6960	9217	1485	324	11048	4846	947	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;
ASV_14	2021	1879	316	5364	2077	1745	5828	2235	899	1163	6331	580	2139	1130	2503	9973	1603	257	2228	3016	368	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_86	90	161	32	520	288	480	973	214	55	79	1362	90	98	389	345	2432	84	11	304	416	21	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_185	256	359	0	260	254	73	479	173	66	32	126	21	0	38	92	518	0	0	30	0	27	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_202	91	0	0	139	90	94	68	0	83	90	865	0	365	100	94	497	0	0	0	88	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_34	1715	1920	9	1103	2045	249	241	158	83	1158	1050	37	12728	257	198	1651	892	132	45	262	25	Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;;
ASV_53	562	646	0	150	1356	44	1183	158	36	1550	294	61	8371	49	77	0	79	101	353	261	108	Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;;
ASV_81	77	220	420	221	213	756	30	57	173	2530	126	453	1319	224	598	37	203	606	432	241	101	Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;;
ASV_35	30	8	664	1580	91	402	125	201	846	229	7420	723	4	4165	73	57	13	0	183	8611	330	Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;
ASV_59	108	19	1646	1391	273	346	266	447	576	277	1155	1054	721	2004	93	150	187	772	106	918	493	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;
ASV_151	0	0	54	425	167	0	25	161	230	0	490	253	197	217	0	179	256	143	149	698	80	Bacteria;Firmicutes;;;;;
ASV_397	11	10	42	80	27	12	4	77	68	21	36	36	42	70	26	35	13	27	35	40	25	Bacteria;Firmicutes;;;;;
ASV_239	60	147	76	51	92	267	0	98	193	0	102	28	10	8	321	251	13	0	213	0	0	Bacteria;Firmicutes;Bacilli;;;;
ASV_210	11	118	0	139	155	237	453	0	8	24	322	0	26	28	278	500	0	0	88	67	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium;
ASV_164	0	0	0	0	0	83	0	2415	633	2	0	0	0	0	0	183	8	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;
ASV_33	1653	2	13	0	325	19372	0	1243	3470	0	95	7	0	0	3	4	37	0	7	16	5	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;
ASV_75	487	2455	28	6	40	4310	47	67	425	231	7	1223	4	0	14	0	104	0	13	4	438	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;
ASV_58	45	79	1562	1912	244	405	117	498	917	359	592	759	1004	1976	293	110	283	772	201	1007	328	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;
ASV_38	864	3783	19	206	1192	3392	11	440	266	932	314	365	430	597	2285	335	3180	235	2886	1103	314	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
ASV_48	324	4766	31	3	510	5162	10	8	296	4523	28	961	0	101	3	0	353	61	570	241	286	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
ASV_98	225	1042	0	67	306	894	0	133	67	257	95	118	130	197	645	87	900	66	827	282	34	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
ASV_108	247	897	0	57	306	867	0	97	55	218	62	101	96	133	509	83	792	45	699	236	42	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
ASV_175	0	98	3	0	32	21	4	0	0	2889	0	0	0	8	0	0	0	0	0	0	6	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
ASV_137	223	19	20	178	0	80	21	44	0	205	0	23	78	120	1484	697	0	0	939	0	21	Bacteria;Firmicutes;Bacilli;RF39;;;
ASV_363	57	23	38	0	30	70	85	26	40	20	39	45	128	15	120	0	55	34	47	27	0	Bacteria;Firmicutes;Bacilli;RF39;;;
ASV_141	48	59	265	603	152	151	280	134	273	152	23	98	260	767	273	0	0	146	37	110	93	Bacteria;Firmicutes;Clostridia;;;;
ASV_198	0	234	19	28	25	19	0	111	69	57	28	74	1455	18	79	0	384	10	34	29	23	Bacteria;Firmicutes;Clostridia;;;;
ASV_220	265	241	69	95	90	271	14	149	115	142	76	193	151	20	118	83	41	5	3	28	54	Bacteria;Firmicutes;Clostridia;;;;
ASV_248	73	25	1079	5	28	34	0	21	260	0	35	72	35	37	29	0	22	19	0	16	49	Bacteria;Firmicutes;Clostridia;;;;
ASV_264	28	32	0	26	63	36	0	0	0	135	154	28	467	201	257	51	0	59	0	135	20	Bacteria;Firmicutes;Clostridia;;;;
ASV_278	96	0	239	0	59	33	0	154	176	309	26	35	0	191	32	0	19	0	87	67	37	Bacteria;Firmicutes;Clostridia;;;;
ASV_403	20	4	59	103	11	24	55	15	16	13	0	102	4	59	26	0	31	56	0	82	22	Bacteria;Firmicutes;Clostridia;;;;
ASV_418	28	0	111	0	0	0	0	0	124	48	47	0	63	0	56	0	51	72	41	11	19	Bacteria;Firmicutes;Clostridia;;;;
ASV_51	455	722	0	2546	1041	0	0	7716	0	0	644	0	0	0	0	13	415	0	1057	1943	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_65	278	195	0	175	1349	0	0	4543	39	67	586	126	167	316	1016	2128	134	0	143	37	86	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_94	3262	240	57	278	105	7	8	0	65	510	0	313	458	0	9	91	12	0	946	0	178	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_126	39	0	0	0	73	0	3801	0	24	103	0	0	0	145	0	0	0	0	380	0	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_144	217	146	48	1495	141	11	35	45	236	0	0	30	164	70	266	0	77	0	757	92	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_157	119	153	123	72	274	274	187	261	169	117	0	99	45	86	882	156	45	19	342	156	30	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_211	586	291	8	0	202	0	0	29	128	0	0	8	116	256	350	0	0	0	359	82	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_225	0	427	0	0	218	0	0	366	306	0	158	0	463	0	0	0	55	0	0	147	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_233	7	76	134	54	46	123	15	48	136	179	90	71	121	38	509	58	18	4	171	94	19	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_267	41	127	13	0	32	47	0	77	53	103	0	51	86	89	493	0	21	0	363	22	25	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_273	90	0	169	0	157	0	0	99	146	87	12	65	67	166	242	0	0	28	197	42	27	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_288	16	88	22	58	532	67	48	19	232	16	0	44	0	276	0	0	0	7	59	0	16	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_300	497	0	256	0	0	111	0	34	122	79	0	24	31	0	197	0	0	9	0	0	9	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_333	0	0	0	0	489	0	0	147	168	104	62	0	0	0	0	0	0	0	0	45	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_354	0	96	81	47	79	74	50	0	0	0	0	73	0	114	41	182	0	0	56	25	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_356	70	41	26	43	0	0	45	0	25	26	0	35	0	0	52	97	0	0	405	46	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_365	30	16	35	32	30	19	70	0	50	34	130	0	93	26	19	191	0	0	73	37	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
